page_number,bucket,confidence,explanation,text
11,intro information,0.95,Summary of rate filing details and company information provided.,"Rate Information 
Rate data applies to filing.
Filing Method: File and Use
Rate Change Type: Increase
Overall Percentage of Last Rate Revision: 3.100%
Effective Date of Last Rate Revision: 12/11/2024
Filing Method of Last Filing: File and Use
SERFF Tracking Number of Last Filing: PRGS-134246923
Company Rate Information
Company
Name:
Overall %
Indicated
Change:
Overall %
Rate
Impact:
Written Premium
Change for
this Program:
Number of Policy
Holders Affected
for this Program:
Written
Premium for
this Program:
Maximum %
Change
(where req'd):
Minimum %
Change
(where req'd):
Progressive County
Mutual Insurance
Company
8.800% 8.500% $113,370,290 121,802 $1,333,768,120 50.000% -50.000%
SERFF Tracking #: PRGS-134279210 State Tracking #: S730179 Company Tracking #: TX 0525 RR-COM
State: Texas Filing Company: Progressive County Mutual Insurance Company
TOI/Sub-TOI: 20.0 Commercial Auto/20.0001 Business Auto
Product Name: Commercial Auto Program
Project Name/Number: TX 0525 RR-COM/TX 0525 RR-COM
PDF Pipeline for SERFF Tracking Number PRGS-134279210 Generated 06/04/2025 10:48 PM"
12,table of contents,0.95,"Lists sections, rules, forms, and attachments for the filing.","Rate/Rule Schedule 
Item
No.
Schedule Item
Status
Exhibit Name
Rule # or Page #
Rate Action
Previous State
Filing Number
Attachments
1 TX 0525 Rates 1-957 Replacement S726362, S716688,
S723654, S717203,
S711188, S707622,
S699454, S695813
TX 0525 Rates.pdf
2 TX 0525 Rate Order of
Calculations
1-21 Replacement S723654, S695813 TX 0525 ROCS.pdf
3 TX 0525 Rule Changes Only1-10 Replacement S723654,
S716688,S695813
TX 0525 Rules Changes
Only.pdf
SERFF Tracking #: PRGS-134279210 State Tracking #: S730179 Company Tracking #: TX 0525 RR-COM
State: Texas Filing Company: Progressive County Mutual Insurance Company
TOI/Sub-TOI: 20.0 Commercial Auto/20.0001 Business Auto
Product Name: Commercial Auto Program
Project Name/Number: TX 0525 RR-COM/TX 0525 RR-COM
PDF Pipeline for SERFF Tracking Number PRGS-134279210 Generated 06/04/2025 10:48 PM"
13,factor table,0.95,Page lists rating factors for various coverage limits and options.,"AA BI OPT AA PD OPT AA HA LIM FCT AA NO LIM FCT
NONE NONE 0.00 0.00
25 0.81 0.81
25 0.93 0.93
50 1.44 1.44
100 1.78 1.78
100CSL 1.04 1.04
300CSL 1.47 1.47
500CSL 1.95 1.95
750CSL 2.24 2.24
1000CSL 2.62 2.62
1500CSL 2.92 2.92
2000CSL 3.14 3.14
3060 
50100 
100300 
250500 
100CSL 
300CSL 
500CSL
 
750CSL 
1000CSL 
1500CSL 
2000CSL 
Progressive County Mutual Insurance Company 
Texas Commercial Auto Program 
May 2025 
AnyAuto Limit Factor Table
Rates Exhibit"
14,factor table,0.95,Page contains tabular lists of various commercial auto rating factors.,"Base Rate Table Rates Exhibit
BCG
Business
Row BI PD Comprehensive
Fire
And
Theft Collision
Med
Pay PIP
Any
Auto
Hired
Auto
Any
Auto
Non
Owned Broadform
Cargo
Collision
Cargo
Comprehensive Downtime GKLL
Hired
Auto
Non
Owned 
BIPD
Non
Truck 
BIPD
On
Hook
A 1291.71 322.92 319.33 271.43 396.66 33.58 57.31 0.93 50 69 198.44 85.04 38 100 0.93 50 186.74 290.58
B 878.79 219.69 331.16 281.48 462.77 32.03 68.88 0.93 50 69 183.47 78.63 38 100 0.93 50 188.63 290.58
C 1789.34 447.33 272.03 231.22 502.43 17.39 36.28 0.93 50 69 187.21 80.23 38 100 0.93 50 188.63 290.58
D 1090.54 272.63 480.97 408.82 374.62 15.67 34.7 0.93 50 69 187.21 80.23 38 100 0.93 50 188.63 290.58
E 1090.54 272.63 480.97 408.82 374.62 15.67 34.7 0.93 50 69 187.21 80.23 38 100 0.93 50 188.63 290.58
F 1090.54 272.63 480.97 408.82 374.62 15.67 34.7 0.93 50 69 187.21 80.23 38 100 0.93 50 188.63 290.58
G 1196.42 299.1 441.55 375.31 480.4 15.67 68.88 0.93 50 69 378.16 162.06 38 100 0.93 50 188.63 290.58
H 1196.42 299.1 441.55 375.31 480.4 15.67 68.88 0.93 50 69 378.16 162.06 38 100 0.93 50 188.63 290.58
I 1196.42 299.1 441.55 375.31 480.4 15.67 68.88 0.93 50 69 378.16 162.06 38 100 0.93 50 188.63 290.58
J 1291.71 322.92 319.33 271.43 396.66 33.58 57.31 0.93 50 69 198.44 85.04 38 100 0.93 50 186.74 290.58
K 1196.42 299.1 441.55 375.31 480.4 15.67 68.88 0.93 50 69 378.16 162.06 38 100 0.93 50 188.63 290.58
L 1196.42 299.1 441.55 375.31 480.4 15.67 68.88 0.93 50 69 378.16 162.06 38 100 0.93 50 188.63 290.58
M 1058.78 264.69 287.8 244.62 744.83 7.75 18.4 0.93 50 69 187.21 80.23 38 100 0.93 50 188.63 290.58
N 1122.31 280.57 618.96 526.11 841.79 8.78 17.88 0.93 50 69 187.21 80.23 38 100 0.93 50 188.63 290.58
O 1545.82 386.45 634.73 539.51 890.27 9.13 20.51 0.93 50 69 187.21 80.23 38 100 0.93 50 188.63 290.58
Roadside Rental UMPD UMUIM
Loan
Lease
Trailer
Interchan
ge
Comp
Trailer
Interchan
ge
Coll
Non
Owned
Trailer
Comp
Non
Owned
Trailer
Coll
27 52.5 246.38 422.79 27.77 144.89 327.6 154.95 325.03
27 52.5 292.29 479.36 32.39 144.89 327.6 154.95 325.03
27 52.5 232.61 443.63 35.17 144.89 327.6 154.95 325.03
27 52.5 111.71 273.92 26.22 144.89 327.6 154.95 325.03
27 52.5 111.71 273.92 26.22 144.89 327.6 154.95 325.03
27 52.5 111.71 273.92 26.22 144.89 327.6 154.95 325.03
27 52.5 114.77 264.99 33.63 144.89 327.6 154.95 325.03
27 52.5 114.77 264.99 33.63 144.89 327.6 154.95 325.03
27 52.5 114.77 264.99 33.63 144.89 327.6 154.95 325.03
27 52.5 246.38 422.79 27.77 144.89 327.6 154.95 325.03
27 52.5 114.77 264.99 33.63 144.89 327.6 154.95 325.03
27 52.5 114.77 264.99 33.63 144.89 327.6 154.95 325.03
27 52.5 52.03 148.87 52.14 144.89 327.6 154.95 325.03
27 52.5 50.5 175.67 58.92 144.89 327.6 154.95 325.03
27 52.5 53.56 154.82 62.32 144.89 327.6 154.95 325.03
Progressive County Mutual Insurance Company 
Texas Commercial Auto Program    
May 2025"
15,factor table,0.95,Tabular data listing rating factors for various vehicle types.,"BODY
TYPE
VALID SYM
IND ILF COLL
DED
COLL
STATED AMT
COMP F/T
DED
COMP F/T
STATD AMT TERR RADIUS NON TRK
LIMIT
MDL YEAR
STATED AMT USDOT BTG MILEAGE
DEFAULT
BTG MILEAGE
FCT
BTG TRUCK
SYMBOL
01 N D D D D D A A D G A G G A
01 Y1 D D D D D A A D G A G G A
01 Y2 D D D D D A A D G A G G A
02 N A A A A A A A A C A C C A
02 Y1 A A A A A A A A C A C C A
02 Y2 A A A A A A A A C A C C A
03 N A A A A A A A A C A D C A
03 Y1 A A A A A A A A C A D C A
03 Y2 A A A A A A A A C A D C A
05 N A A A A A A A A C A E C A
05 Y1 A1 A A A A A A A C1 A E C A
05 Y2 A1 A A A A A A A C2 A E C A
06 N A A A A A A A A B A H B A
06 Y1 A1 A A A A A A A B1 A H B A
06 Y2 A1 A A A A A A A B2 A H B A
07 N A A A A A A A A C A D C A
07 Y1 A A A A A A A A C A D C A
07 Y2 A A A A A A A A C A D C A
08 N A A A A A A A A C A D C A
08 Y1 A A A A A A A A C A D C A
08 Y2 A A A A A A A A C A D C A
09 N A A A A A A A A B A A B A
09 Y1 A1 A A A A A A A B1 A A B A
09 Y2 A1 A A A A A A A B2 A A B A
10 N D D D D D A A D F A I F A
10 Y1 D D D D D A A D F A I F A
10 Y2 D D D D D A A D F A I F A
12 N D D D D D A A D F A I F A
12 Y1 D D D D D A A D F A I F A
12 Y2 D D D D D A A D F A I F A
13 N D D D D D A A D F A I F A
13 Y1 D D D D D A A D F A I F A
13 Y2 D D D D D A A D F A I F A
14 N D D D D D A A D F A I F A
14 Y1 D D D D D A A D F A I F A
14 Y2 D D D D D A A D F A I F A
15 N D D D D D A A D F A I F A
15 Y1 D D D D D A A D F A I F A
15 Y2 D D D D D A A D F A I F A
16 N D D D D D A A D F A I F A
16 Y1 D D D D D A A D F A I F A
Progressive County Mutual Insurance Company 
Texas Commercial Auto Program 
May 2025 
Body Type Group Assignment Table
Rates Exhibit"
16,factor table,0.95,Tabular data listing rating factors for various vehicle types.,"BODY
TYPE
VALID SYM
IND ILF COLL
DED
COLL
STATED AMT
COMP F/T
DED
COMP F/T
STATED AMT TERR RADIUS NON TRK
LIMIT
MDL YEAR
STATED AMT USDOT BTG MILEAGE
DEFAULT
BTG MILEAGE
FCT
BTG TRUCK
SYMBOL
16 Y2 D D D D D A A D F A I F A
17 N D D D D D A A D F A I F A
17 Y1 D D D D D A A D F A I F A
17 Y2 D D D D D A A D F A I F A
18 N A A A A A A A A F A I F A
18 Y1 A A A A A A A A F A I F A
18 Y2 A A A A A A A A F A I F A
19 N D D D D D A A D F A I F A
19 Y1 D D D D D A A D F A I F A
19 Y2 D D D D D A A D F A I F A
20 N D D D D D A A D F A I F A
20 Y1 D D D D D A A D F A I F A
20 Y2 D D D D D A A D F A I F A
21 N D D D D D A A D F A I F A
21 Y1 D D D D D A A D F A I F A
21 Y2 D D D D D A A D F A I F A
22 N D D D D D A A D F A I F A
22 Y1 D D D D D A A D F A I F A
22 Y2 D D D D D A A D F A I F A
23 N D D D D D A A D F A I F A
23 Y1 D D D D D A A D F A I F A
23 Y2 D D D D D A A D F A I F A
24 N A A E A E A A A F A I F A
24 Y1 A A E A E A A A F A I F A
24 Y2 A A E A E A A A F A I F A
25 N D D D D D A A D F A I F A
25 Y1 D D D D D A A D F A I F A
25 Y2 D D D D D A A D F A I F A
26 N D D D D D A A D F A I F A
26 Y1 D D D D D A A D F A I F A
26 Y2 D D D D D A A D F A I F A
27 N A A A A A A A A A A A A A
27 Y1 A1 A A A A A A A A1 A A A A
27 Y2 A1 A A A A A A A A2 A A A A
28 N A A E A E A A A F A I F A
28 Y1 A A E A E A A A F A I F A
28 Y2 A A E A E A A A F A I F A
29 N A A A A A A A A A A A A A
29 Y1 A1 A A A A A A A A1 A A A A
29 Y2 A1 A A A A A A A A2 A A A A
30 N A A A A A A A A A A A A A
30 Y1 A1 A A A A A A A A1 A A A A
Progressive County Mutual Insurance Company 
Texas Commercial Auto Program 
May 2025 
Body Type Group Assignment Table
Rates Exhibit"
17,factor table,0.95,Tabular data listing rating factors for various vehicle attributes.,"BODY
TYPE
VALID SYM
IND ILF COLL
DED
COLL
STATED AMT
COMP F/T
DED
COMP F/T
STATED AMT TERR RADIUS NON TRK
LIMIT
MDL YEAR
STATED AMT USDOT BTG MILEAGE
DEFAULT
BTG MILEAGE
FCT
BTG TRUCK
SYMBOL
30 Y2 A1 A A A A A A A A2 A A A A
31 N A A A A A A A A B A F B A
31 Y1 A A A A A A A A B A F B A
31 Y2 A A A A A A A A B A F B A
32 N A A A A A A A A A A A A A
32 Y1 A1 A A A A A A A A1 A A A A
32 Y2 A1 A A A A A A A A2 A A A A
33 N A A A A A A A A B A F B A
33 Y1 A A A A A A A A B A F B A
33 Y2 A A A A A A A A B A F B A
34 N A A A A A A A A A A A A A
34 Y1 A1 A A A A A A A A1 A A A A
34 Y2 A1 A A A A A A A A2 A A A A
35 N A A A A A A A A B A F B A
35 Y1 A A A A A A A A B A F B A
35 Y2 A A A A A A A A B A F B A
37 N A A A A A A A A B A A B A
37 Y1 A A A A A A A A B A A B A
37 Y2 A A A A A A A A B A A B A
38 N A A A A A A A A B A A B A
38 Y1 A A A A A A A A B A A B A
38 Y2 A A A A A A A A B A A B A
39 N A A A A A A A A B A A B A
39 Y1 A A A A A A A A B A A B A
39 Y2 A A A A A A A A B A A B A
40 N B B B B B A A B E A F E A
40 Y1 B B B B B A A B E A F E A
40 Y2 B B B B B A A B E A F E A
41 N B B B B B A A B E A F E A
41 Y1 B B B B B A A B E A F E A
41 Y2 B B B B B A A B E A F E A
42 N C C C C C A A C E A F E A
42 Y1 C C C C C A A C E A F E A
42 Y2 C C C C C A A C E A F E A
43 N B B B B B A A B E A F E A
43 Y1 B B B B B A A B E A F E A
43 Y2 B B B B B A A B E A F E A
44 N B B B B B A A B E A F E A
44 Y1 B B B B B A A B E A F E A
44 Y2 B B B B B A A B E A F E A
45 N C C C C C A A C E A F E A
45 Y1 C C C C C A A C E A F E A
Progressive County Mutual Insurance Company 
Texas Commercial Auto Program 
May 2025 
Body Type Group Assignment Table
Rates Exhibit"
18,factor table,0.95,Tabular data listing rating factors for various vehicle types.,"BODY
TYPE
VALID SYM
IND ILF COLL
DED
COLL
STATED AMT
COMP F/T
DED
COMP F/T
STATED AMT TERR RADIUS NON TRK
LIMIT
MDL YEAR
STATED AMT USDOT BTG MILEAGE
DEFAULT
BTG MILEAGE
FCT
BTG TRUCK
SYMBOL
45 Y2 C C C C C A A C E A F E A
46 N A A A A A A A A B A F B A
46 Y1 A A A A A A A A B A F B A
46 Y2 A A A A A A A A B A F B A
47 N A A A A A A A A F A I F A
47 Y1 A A A A A A A A F A I F A
47 Y2 A A A A A A A A F A I F A
48 N A A A A A A A A F A I F A
48 Y1 A A A A A A A A F A I F A
48 Y2 A A A A A A A A F A I F A
49 N A A A A A A A A B A I B A
49 Y1 A A A A A A A A B A I B A
49 Y2 A A A A A A A A B A I B A
4A N C B B B B A A C H A B H A
4A Y1 C B B B B A A C H A B H A
4A Y2 C B B B B A A C H A B H A
4B N C B B B B A A C H A B H A
4B Y1 C B B B B A A C H A B H A
4B Y2 C B B B B A A C H A B H A
50 N B B B B B A A B D A D D A
50 Y1 B B B B B A A B D A D D A
50 Y2 B B B B B A A B D A D D A
53 N C C C C C A A C D A D D A
53 Y1 C C C C C A A C D A D D A
53 Y2 C C C C C A A C D A D D A
54 N C B B B B A A C H A B H A
54 Y1 C B B B B A A C H A B H A
54 Y2 C B B B B A A C H A B H A
55 N A A A A A A A A C A E C A
55 Y1 A1 A A A A A A A C1 A E C A
55 Y2 A1 A A A A A A A C2 A E C A
56 N A A A A A A A A B A F B A
56 Y1 A A A A A A A A B A F B A
56 Y2 A A A A A A A A B A F B A
57 N C C C C C A A C D A D D A
57 Y1 C C C C C A A C D A D D A
57 Y2 C C C C C A A C D A D D A
5A N A A A A A A A A C A E C A
5A Y1 A1 A A A A A A A C1 A E C A
5A Y2 A1 A A A A A A A C2 A E C A
5B N A A A A A A A A C A E C A
5B Y1 A1 A A A A A A A C1 A E C A
Progressive County Mutual Insurance Company 
Texas Commercial Auto Program 
May 2025 
Body Type Group Assignment Table
Rates Exhibit"
19,factor table,0.95,Tabular data listing rating factors for various vehicle types.,"BODY
TYPE
VALID SYM
IND ILF COLL
DED
COLL
STATED AMT
COMP F/T
DED
COMP F/T
STATED AMT TERR RADIUS NON TRK
LIMIT
MDL YEAR
STATED AMT USDOT BTG MILEAGE
DEFAULT
BTG MILEAGE
FCT
BTG TRUCK
SYMBOL
5B Y2 A1 A A A A A A A C2 A E C A
61 N B B B B B A A B C A G C A
61 Y1 B B B B B A A B C A G C A
61 Y2 B B B B B A A B C A G C A
62 N B B B B B A A B C A C C A
62 Y1 B B B B B A A B C A C C A
62 Y2 B B B B B A A B C A C C A
63 N B B B B B A A B D A D D A
63 Y1 B B B B B A A B D A D D A
63 Y2 B B B B B A A B D A D D A
64 N C C C C C A A C D A C D A
64 Y1 C C C C C A A C D A C D A
64 Y2 C C C C C A A C D A C D A
65 N C C C C C A A C D A C D A
65 Y1 C C C C C A A C D A C D A
65 Y2 C C C C C A A C D A C D A
66 N C C C C C A A C D A C D A
66 Y1 C C C C C A A C D A C D A
66 Y2 C C C C C A A C D A C D A
67 N B B B B B A A B D A D D A
67 Y1 B B B B B A A B D A D D A
67 Y2 B B B B B A A B D A D D A
68 N B B B B B A A B D A D D A
68 Y1 B B B B B A A B D A D D A
68 Y2 B B B B B A A B D A D D A
69 N D D D D D A A D F A I F A
69 Y1 D D D D D A A D F A I F A
69 Y2 D D D D D A A D F A I F A
6A N A A A A A A A A B A A B A
6A Y1 A A A A A A A A B A A B A
6A Y2 A A A A A A A A B A A B A
6B N A A A A A A A A B A A B A
6B Y1 A A A A A A A A B A A B A
6B Y2 A A A A A A A A B A A B A
6C N A A A A A A A A B A A B A
6C Y1 A A A A A A A A B A A B A
6C Y2 A A A A A A A A B A A B A
6D N A A A A A A A A B A A B A
6D Y1 A A A A A A A A B A A B A
6D Y2 A A A A A A A A B A A B A
72 N E C C C C A A E D A C D A
72 Y1 E C C C C A A E D A C D A
Progressive County Mutual Insurance Company 
Texas Commercial Auto Program 
May 2025 
Body Type Group Assignment Table
Rates Exhibit"
20,factor table,0.95,Tabular data listing rating factors for various vehicle attributes.,"BODY
TYPE
VALID SYM
IND ILF COLL
DED
COLL
STATED AMT
COMP F/T
DED
COMP F/T
STATED AMT TERR RADIUS NON TRK
LIMIT
MDL YEAR
STATED AMT USDOT BTG MILEAGE
DEFAULT
BTG MILEAGE
FCT
BTG TRUCK
SYMBOL
72 Y2 E C C C C A A E D A C D A
73 N E C C C C A A E D A C D A
73 Y1 E C C C C A A E D A C D A
73 Y2 E C C C C A A E D A C D A
74 N C C C C C A A C D A C D A
74 Y1 C C C C C A A C D A C D A
74 Y2 C C C C C A A C D A C D A
75 N C C C C C A A C D A C D A
75 Y1 C C C C C A A C D A C D A
75 Y2 C C C C C A A C D A C D A
76 N C C C C C A A C D A C D A
76 Y1 C C C C C A A C D A C D A
76 Y2 C C C C C A A C D A C D A
77 N A A A A A A A A C A D C A
77 Y1 A A A A A A A A C A D C A
77 Y2 A A A A A A A A C A D C A
78 N B B B B B A A B D A D D A
78 Y1 B B B B B A A B D A D D A
78 Y2 B B B B B A A B D A D D A
79 N C C C C C A A C D A D D A
79 Y1 C C C C C A A C D A D D A
79 Y2 C C C C C A A C D A D D A
82 N B B B B B A A B F A I F A
82 Y1 B B B B B A A B F A I F A
82 Y2 B B B B B A A B F A I F A
84 N C B B B B A A C H A B H A
84 Y1 C B B B B A A C H A B H A
84 Y2 C B B B B A A C H A B H A
87 N A A A A A A A A C A D C A
87 Y1 A A A A A A A A C A D C A
87 Y2 A A A A A A A A C A D C A
88 N B B B B B A A B D A D D A
88 Y1 B B B B B A A B D A D D A
88 Y2 B B B B B A A B D A D D A
89 N C C C C C A A C D A D D A
89 Y1 C C C C C A A C D A D D A
89 Y2 C C C C C A A C D A D D A
91 N A A A A A A A A B A A B A
91 Y1 A1 A A A A A A A B1 A A B A
91 Y2 A1 A A A A A A A B2 A A B A
92 N A A A A A A A A B A A B A
92 Y1 A A A A A A A A B A A B A
Progressive County Mutual Insurance Company 
Texas Commercial Auto Program 
May 2025 
Body Type Group Assignment Table
Rates Exhibit"
21,factor table,0.95,Tabular list of rating factors for vehicle body types.,"BODY
TYPE
VALID SYM
IND ILF COLL
DED
COLL
STATED AMT
COMP F/T
DED
COMP F/T
STATED AMT TERR RADIUS NON TRK
LIMIT
MDL YEAR
STATED AMT USDOT BTG MILEAGE
DEFAULT
BTG MILEAGE
FCT
BTG TRUCK
SYMBOL
92 Y2 A A A A A A A A B A A B A
93 N A A A A A A A A B A A B A
93 Y1 A A A A A A A A B A A B A
93 Y2 A A A A A A A A B A A B A
94 N C B B B B A A C H A B H A
94 Y1 C B B B B A A C H A B H A
94 Y2 C B B B B A A C H A B H A
95 N A A A A A A A A C A C C A
95 Y1 A A A A A A A A C A C C A
95 Y2 A A A A A A A A C A C C A
96 N B B B B B A A B D A C C A
96 Y1 B B B B B A A B D A C C A
96 Y2 B B B B B A A B D A C C A
97 N C C C C C A A C D A C C A
97 Y1 C C C C C A A C D A C C A
97 Y2 C C C C C A A C D A C C A
98 N C C C C C A A C C A C C A
98 Y1 C C C C C A A C C A C C A
98 Y2 C C C C C A A C C A C C A
Progressive County Mutual Insurance Company 
Texas Commercial Auto Program 
May 2025 
Body Type Group Assignment Table
Rates Exhibit"
22,factor table,0.95,Page contains tabular data of rating factors for various coverages.,"BusinessClassBodyTypeUseClass BI PD Comprehensive FireAndTheft Collision MedPay PIP CargoCollision CargoComprehensive Downtime GeneralLiability NonTruck OnHook Roadside Rental UMPD UMUIM OnHookDP LoanLease
010001C 1.24 1.24 1.49 1.49 1.17 0.80 0.88 0.79 0.79 1.00 99.00 1.00 1.00 4.00 0.66 1.20 0.80 1.00 1.17
010001H 1.58 1.58 1.49 1.49 1.17 0.80 0.88 0.79 0.79 1.00 99.00 1.00 1.00 4.00 0.66 1.48 0.80 1.00 1.17
010002X 0.24 0.24 0.80 0.80 0.58 0.90 0.52 0.56 0.56 1.00 99.00 99.00 1.00 4.00 1.00 0.70 1.00 1.00 0.58
010003X 0.43 0.43 0.80 0.80 0.64 0.90 0.56 0.56 0.56 1.00 99.00 99.00 1.00 4.00 1.00 0.70 1.00 1.00 0.64
010005C 0.48 0.48 0.51 0.51 0.90 0.90 0.7 0.37 0.37 1.00 99.00 99.00 1.00 1.00 1.00 0.85 1.00 1.00 0.90
010005N 0.49 0.49 0.51 0.51 0.93 0.90 0.7 0.00 0.00 1.00 0.00 99.00 1.00 1.00 1.00 0.84 1.00 1.00 0.93
010005S 0.44 0.44 0.51 0.51 0.87 0.90 0.7 0.37 0.37 1.00 99.00 99.00 1.00 1.00 1.00 0.80 1.00 1.00 0.87
010006C 0.41 0.41 0.83 0.83 0.68 1.50 0.91 0.37 0.37 1.00 99.00 2.13 1.00 1.00 1.00 1.15 1.25 1.00 0.68
010006N 0.42 0.42 0.83 0.83 0.71 1.50 0.91 0.00 0.00 1.00 99.00 2.13 1.00 1.00 1.00 1.13 1.25 1.00 0.71
010006S 0.38 0.38 0.83 0.83 0.66 1.50 0.91 0.37 0.37 1.00 99.00 2.13 1.00 1.00 1.00 1.08 1.25 1.00 0.66
010007X 0.43 0.43 0.80 0.80 0.64 0.90 0.56 0.56 0.56 1.00 99.00 99.00 1.00 4.00 1.00 0.70 1.00 1.00 0.64
010008C 0.41 0.41 0.80 0.80 1.24 0.90 0.7 0.64 0.64 1.00 99.00 99.00 1.00 4.00 1.00 1.24 1.00 1.00 1.24
010008S 0.39 0.39 0.80 0.80 1.19 0.90 0.7 0.64 0.64 1.00 99.00 99.00 1.00 4.00 1.00 1.16 1.00 1.00 1.19
010009C 0.46 0.46 0.90 0.90 0.71 1.50 0.91 0.07 0.07 1.00 99.00 99.00 1.00 1.00 1.00 1.42 1.25 1.00 0.71
010009N 0.47 0.47 0.90 0.90 0.73 1.50 0.91 0.00 0.00 1.00 0.00 99.00 1.00 1.00 1.00 1.40 1.25 1.00 0.73
010009S 0.43 0.43 0.90 0.90 0.68 1.50 0.91 0.07 0.07 1.00 99.00 99.00 1.00 1.00 1.00 1.33 1.25 1.00 0.68
010010C 0.04 0.04 0.87 0.87 0.56 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.78 0.10 1.00 0.56
010010H 0.05 0.05 0.87 0.87 0.56 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.96 0.10 1.00 0.56
010012C 0.04 0.04 0.43 0.43 0.71 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.93 0.10 1.00 0.71
010012S 0.04 0.04 0.43 0.43 0.68 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.87 0.10 1.00 0.68
010013X 0.04 0.04 0.47 0.47 0.26 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.34 0.10 1.00 0.26
010014X 0.04 0.04 0.47 0.47 0.26 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.34 0.10 1.00 0.26
010015C 0.04 0.04 0.87 0.87 0.56 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.78 0.10 1.00 0.56
010015H 0.05 0.05 0.87 0.87 0.56 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.96 0.10 1.00 0.56
010016C 0.04 0.04 0.43 0.43 0.71 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.93 0.10 1.00 0.71
010016H 0.05 0.05 0.43 0.43 0.71 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 1.15 0.10 1.00 0.71
010017C 0.04 0.04 0.87 0.87 0.56 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.78 0.10 1.00 0.56
010017H 0.05 0.05 0.87 0.87 0.56 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.96 0.10 1.00 0.56
010018X 0.00 0.00 0.57 0.57 0.15 0.00 0 0.07 0.07 1.00 0.00 99.00 1.00 1.00 1.00 0.19 0.10 1.00 0.15
010019X 0.04 0.04 0.47 0.47 0.26 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.34 0.10 1.00 0.26
010020X 0.04 0.04 0.43 0.43 0.62 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 1.00 0.10 1.00 0.62
010021C 0.04 0.04 0.43 0.43 0.71 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.93 0.10 1.00 0.71
010021H 0.05 0.05 0.43 0.43 0.71 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 1.15 0.10 1.00 0.71
010022X 0.04 0.04 0.47 0.47 0.26 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.34 0.10 1.00 0.26
010023C 0.04 0.04 0.43 0.43 0.71 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.93 0.10 1.00 0.71
010023H 0.05 0.05 0.43 0.43 0.71 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 1.15 0.10 1.00 0.71
010024X 0.00 0.00 0.57 0.57 0.15 0.00 0 0.07 0.07 1.00 0.00 99.00 1.00 1.00 1.00 0.19 0.10 1.00 0.15
010025X 0.03 0.03 0.47 0.47 0.26 0.10 0.05 0.75 0.75 1.00 0.00 1.00 1.00 1.00 0.66 0.34 0.10 1.00 0.26
010026X 0.04 0.04 0.47 0.47 0.26 0.10 0.05 0.07 0.07 1.00 0.00 1.00 1.00 1.00 0.66 0.10 0.10 1.00 0.26
010027N 0.38 0.38 1.14 1.14 1.94 1.50 1.09 0.00 0.00 1.00 0.00 99.00 1.00 1.00 1.00 1.89 1.25 1.00 1.94
010027X 0.38 0.38 1.14 1.14 1.75 1.50 1.09 0.07 0.07 1.00 99.00 99.00 1.00 1.00 1.00 1.81 1.25 1.00 1.75
010028X 0.03 0.03 0.57 0.57 0.15 0.10 0.02 0.07 0.07 1.00 0.00 99.00 1.00 1.00 1.00 0.19 0.10 1.00 0.15
Progressive County Mutual Insurance Company 
Texas Commercial Auto Program 
May 2025 
 
 
Business Class Body Type Use Factors
Rates Exhibit"
